Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI,,,,,
1.63,86.92621613,67.3125,83.8625,111.5,96,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.64,86.92621613,67.3125,83.5,111.5,96,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.65,86.92621613,67.3125,82.75,111.5,96.00624847,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.66,86.92621613,67.3125,81.5,111.5,96.01250076,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.67,86.92621613,67.3125,80.303125,111.5,95.52187729,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.68,86.92621613,67.3125,79.55,111.5,94.984375,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.69,86.92621613,67.3125,78.7625,111.5,94.02499771,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.7,86.92621613,67.3125,78.025,111.5,94.015625,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.71,86.92621613,67.3125,78.9,111.5,93.53125,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.72,86.92621613,67.3125,79.325,111.5,92.01250076,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.73,86.92621613,67.3125,78.95625,111.5,92.02500153,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.74,86.92621613,67.3125,77.425,111.5,91.54375076,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.75,86.92621613,67.3125,77.08125,111.5,90.50625229,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.76,86.92621613,67.3125,75.8625,111.5,89.97187805,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.77,86.92621613,67.3125,73.825,111.5,89.02500153,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.78,86.92621613,67.3125,72.565625,111.5,88.04999924,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.79,86.92621613,67.3125,72.040625,111.5,87.54374695,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.8,86.92621613,67.3125,72.059375,111.5,86.984375,86.92621613,143,105.0062485,90.00624847,75,0.508333385,,,,,
1.81,86.92621613,67.3125,72.165625,111.5,86.99687576,86.92621613,143,105,90,75,0.508333385,,,,,
1.82,86.92621613,67.3125,72.296875,111.5,87,86.92621613,143,105,90,75,0.508333385,,,,,
1.83,86.92621613,67.3125,71.65,111.5,87,86.92621613,143,105,90,75,0.508333385,,,,,
1.84,86.92621613,67.3125,70.56875,111.5,87.00625229,86.92621613,143.0500031,105,89.984375,74.99374771,0.508333385,,,,,
1.85,86.92621613,67.3125,70.04375,111.5,86.99374771,86.92621613,143.0218735,105,89.99374771,75,0.508333385,,,,,
1.86,86.92621613,67.3125,70.015625,111.5,88.43124771,86.92621613,147.9093781,105,88.04062653,74.02187347,0.508333385,,,,,
1.87,86.92621613,67.3125,70.009375,111.5,91.39374924,86.92621613,147.953125,105,88.02500153,74.01250076,0.508333385,,,,,
1.88,86.92621613,67.3125,70.03125,111.5,97.84687424,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.89,86.92621613,67.3125,69.603125,111.5,108.703125,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.9,86.92621613,67.3125,68.775,111.5,122.6531258,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.91,86.92621613,67.3125,67.775,111.5,135.7750015,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.92,86.92621613,67.3125,68.35625,111.5,145.3874969,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.93,86.92621613,67.3125,72.36875,111.5,148.0124969,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.94,86.92621613,67.3125,77.534375,111.5,147.546875,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.95,86.92621613,67.3125,84.340625,111.5,145.0875015,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.96,86.92621613,67.3125,93.765625,111.5,140.6062469,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.97,86.92621613,67.3125,102.41875,111.5,136.0749969,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.98,86.92621613,67.3125,107.009375,111.5,130.6374969,86.92621613,148.0062561,105,88,74,0.508333385,,,,,
1.99,86.92621613,67.3125,110.75625,111.5,125.1156235,86.92621613,148.0062561,105.0031242,88.00312424,74,0.508333385,,,,,
2,86.77787323,66.63125,111.14375,111.50625,120.6218758,86.77787323,148.0062561,105.0062485,88.00624847,74,0.517185414,,,,,
2.01,86.18450165,63.90625,109.815625,111.53125,116.0499992,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.02,86.18450165,63.90625,108.021875,111.53125,113.015625,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.03,86.18450165,63.90625,106.565625,111.53125,112.03125,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.04,86.18450165,63.90625,104.790625,111.53125,112.4562492,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.05,86.18450165,63.90625,103.828125,111.53125,114.9281273,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.06,86.18450165,63.90625,102.003125,111.53125,116.9749985,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.07,86.18450165,63.90625,100.853125,111.53125,119.4937515,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.08,86.18450165,63.90625,100,111.53125,121.0062485,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.09,86.18450165,63.90625,99.98125,111.53125,119.5687523,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.1,86.18450165,63.90625,100.96875,111.53125,116.5968781,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
2.11,86.18450165,63.90625,103.11875,111.53125,112.046875,86.18450165,148.0062561,105.0062485,88.00624847,74,0.552593529,,,,,
