Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
1.87,57.5114,44.6563,47.8937,89.6563,88.2188,57.5114,142.0063,102,92,66,0.7825
1.88,57.5114,44.6563,46.8125,89.6563,88.0125,57.5114,142,102,92,66,0.7825
1.89,57.5114,44.6563,46.1125,89.6563,88.0187,57.5114,141.9906,102.0156,91.9625,66.1344,0.7825
1.9,57.5114,44.6563,45.5219,89.6563,88.1531,57.5114,141.8094,102.1969,91.425,67.9344,0.7825
1.91,57.5114,44.6563,44.9094,89.6563,89.7813,57.5114,140.9656,103.0406,88.8875,76.3969,0.7825
1.92,57.5114,44.6563,45.1781,89.6563,91.8656,57.5114,141.0031,103.0031,89.0062,76,0.7825
1.93,57.5114,44.6563,47.2375,89.6563,96.8844,57.5114,141,103,89.0062,76,0.7825
1.94,57.5114,44.6563,49.6063,89.6563,103.8594,57.5114,141,103,89.0062,76,0.7825
1.95,57.5114,44.6563,51,89.6563,112.9,57.5114,141,103,89.0062,76,0.7825
1.96,57.5114,44.6563,50.4219,89.6563,122.1188,57.5114,141,103,89.0062,76,0.7825
1.97,57.5114,44.6563,49.9688,89.6563,130.7781,57.5114,141,103,89.0062,76,0.7825
1.98,57.5114,44.6563,51.825,89.6563,136.7344,57.5114,141,103,89.0062,76,0.7825
1.99,57.5114,44.6563,57.7969,89.6563,140.625,57.5114,141,103,89.0062,76,0.7825
2,57.5114,44.6563,64.5625,89.6563,141.0437,57.5114,141,103,89.0062,76,0.7825
2.01,57.5114,44.6563,71.075,89.6563,139.3187,57.5114,141,103,89.0062,76,0.7825
2.02,57.5114,44.6563,77.4781,89.6563,135.0969,57.5114,141,103,89.0062,76,0.7825
2.03,57.5114,44.6563,84.1281,89.6563,129.8656,57.5114,141,103,89.0062,76,0.7825
2.04,57.5114,44.6563,88.5563,89.6563,124.2094,57.5114,141,103,89.0062,76,0.7825
2.05,57.5114,44.6563,89.4906,89.6563,119.8687,57.5114,141,103,89.0062,76,0.7825
2.06,62.7601,49.0812,88.7531,89.6188,114.9937,62.7601,141,103,89.0062,76,0.6531
2.07,66.2592,52.0313,85.6031,89.5938,110.8219,66.2592,141,103,89.0062,76,0.5669
2.08,66.2592,52.0313,81.5156,89.5938,106.8031,66.2592,141,103,89.0062,76,0.5669
2.09,66.2592,52.0313,78.4188,89.5938,103.2344,66.2592,141.0063,103,89,76.0062,0.5669
2.1,66.2592,52.0313,75.3563,89.5938,100.2875,66.2592,141.0063,103,89,76.0062,0.5669
2.11,66.2592,52.0313,72.6469,89.5938,97.2469,66.2592,141.0063,103,89,76.0062,0.5669
2.12,66.2592,52.0313,70.5,89.5938,95.0219,66.2592,141.0063,103,89,76.0062,0.5669
2.13,66.2592,52.0313,68.1031,89.5938,92.8375,66.2592,141.0063,103,89,76.0062,0.5669
2.14,66.2592,52.0313,66.3219,89.5938,89.9844,66.2592,141.0063,103,89,76.0062,0.5669
2.15,66.2592,52.0313,64.2438,89.5938,87.9875,66.2592,141.0063,103,89,76.0062,0.5669
2.16,66.2592,52.0313,63.6531,89.5938,86.7969,66.2592,141.0063,103,89,76.0062,0.5669
2.17,66.2592,52.0313,63.4344,89.5938,86.1656,66.2592,141.0063,103,89,76.0062,0.5669
2.18,66.2592,52.0313,61.8375,89.5938,87.2094,66.2592,141.0063,103,89,76.0062,0.5669
2.19,66.2592,52.0313,59.6719,89.5938,88.9688,66.2592,141.0063,103,89,76.0062,0.5669
2.2,66.2592,52.0313,57.7781,89.5938,91.9312,66.2592,141.0063,103,89,76.0062,0.5669
2.21,66.2592,52.0313,54.925,89.5938,95.9781,66.2592,141.0063,103,89,76.0062,0.5669
2.22,66.2592,52.0313,52.7125,89.5938,100.1625,66.2592,141.0063,103,89,76.0062,0.5669
2.23,66.2592,52.0313,52.9906,89.5938,105.1906,66.2592,141.0063,103,89,76.0062,0.5669
2.24,66.2592,52.0313,56.3563,89.5938,110,66.2592,141.0063,103,89,76.0062,0.5669
2.25,66.2592,52.0313,59.7469,89.5938,113.9469,66.2592,141.0063,103,89,76.0062,0.5669
2.26,66.2592,52.0313,62.7563,89.5938,117.8375,66.2592,141.0063,103,89,76.0062,0.5669
2.27,66.2592,52.0313,65.0062,89.5938,119.1594,66.2592,141.0063,103,89,76.0062,0.5669
2.28,66.2592,52.0313,65.6219,89.5938,120.6281,66.2592,141.0063,103,89,76.0062,0.5669
2.29,66.2592,52.0313,65.6094,89.5938,119.7875,66.2592,141.0063,103,89,76.0062,0.5669
2.3,66.2592,52.0313,65.9562,89.5938,118,66.2592,141.0063,103,89,76,0.5669
2.31,66.2592,52.0313,66.6969,89.5938,115.825,66.2592,141.0063,103,89,76,0.5669
2.32,66.2592,52.0313,67.5094,89.5938,112.7844,66.2592,141.0063,103,89,76,0.5669
2.33,66.2592,52.0313,67.4906,89.5938,109.7969,66.2592,141.0063,103,89,76,0.5669
2.34,66.2592,52.0313,67.1156,89.5938,107.0219,66.2592,141.0063,103,89,76,0.5669
2.35,66.2592,52.0313,67.0906,89.5938,104.2375,66.2592,141.0063,103,89,76,0.5669
2.36,66.2592,52.0313,67.4938,89.5938,102.0844,66.2592,141.0063,103,89,76,0.5669
2.37,61.0416,50.6094,67.35,92.3937,99.4219,61.0416,141.0063,103,89,76,0.689
2.38,58.8055,50,66.1344,93.5938,98.0719,58.8055,141.0063,103,89,76,0.7413
2.39,58.8055,50,65.2594,93.5938,96.0344,58.8055,141.0063,103,89,76,0.7413
2.4,58.8055,50,60.0531,93.5938,94.225,58.8055,141.0063,103,89,76,0.7413
2.41,58.8055,50,59.1594,93.5938,93.2125,58.8055,141.0063,103,89,76,0.7413
2.42,58.8055,50,59.1563,93.5938,92.825,58.8055,141.0063,103,89,76,0.7413
2.43,58.8055,50,58.1313,93.5938,91.9625,58.8055,141.0063,103,89,76,0.7413
2.44,58.8055,50,56.375,93.5938,91.9906,58.8055,141.0063,103,89,76,0.7413
